-- Total Memory Allocated --
Total: 19212
-- allocMBList (2397) --
address=0x235b735, size=10, name=Trumaine
address=0x235b72c, size=9, name=Trueman
address=0x235b723, size=9, name=Trstram
address=0x235b71d, size=6, name=Troy
address=0x235b714, size=9, name=Tristan
address=0x235b70b, size=9, name=Tristam
address=0x235b705, size=6, name=Tris
address=0x235b6fe, size=7, name=Tripp
address=0x235b6f8, size=6, name=Trip
address=0x235b6f2, size=6, name=Trey
address=0x235b6ea, size=8, name=Trevor
address=0x235b6e2, size=8, name=Trever
address=0x235b6da, size=8, name=Trevar
address=0x235b6d4, size=6, name=Trev
address=0x235b6cb, size=9, name=Trenton
address=0x235b6c4, size=7, name=Trent
address=0x235b6ba, size=10, name=Tremayne
address=0x235b6b0, size=10, name=Tremaine
address=0x235b6a7, size=9, name=Tremain
address=0x235b69f, size=8, name=Trefor
address=0x235b697, size=8, name=Travus
address=0x235b68f, size=8, name=Travis
address=0x235b686, size=9, name=Travers
address=0x235b67e, size=8, name=Traver
address=0x235b677, size=7, name=Tracy
address=0x235b66f, size=8, name=Tracie
address=0x235b667, size=8, name=Tracey
address=0x235b660, size=7, name=Trace
address=0x235b659, size=7, name=Towny
address=0x235b64f, size=10, name=Townsend
address=0x235b647, size=8, name=Townie
address=0x235b63f, size=8, name=Towney
address=0x235b639, size=6, name=Town
address=0x235b632, size=7, name=Torry
address=0x235b62a, size=8, name=Torrin
address=0x235b622, size=8, name=Torrey
address=0x235b618, size=10, name=Torrence
address=0x235b611, size=7, name=Torre
address=0x235b607, size=10, name=Torrance
address=0x235b601, size=6, name=Torr
address=0x235b5fa, size=7, name=Torin
address=0x235b5f3, size=7, name=Torey
address=0x235b5ed, size=6, name=Tore
address=0x235b5e7, size=6, name=Tony
address=0x235b5df, size=8, name=Tonnie
address=0x235b5d8, size=7, name=Tommy
address=0x235b5d0, size=8, name=Tommie
address=0x235b5c8, size=8, name=Tomlin
address=0x235b5c0, size=8, name=Tomkin
address=0x235b5ba, size=6, name=Tome
address=0x235b5b2, size=8, name=Tomaso
address=0x235b5ab, size=7, name=Tomas
address=0x235b5a6, size=5, name=Tom
address=0x235b59d, size=9, name=Toiboid
address=0x235b596, size=7, name=Toddy
address=0x235b58e, size=8, name=Toddie
address=0x235b588, size=6, name=Todd
address=0x235b583, size=5, name=Tod
address=0x235b57d, size=6, name=Toby
address=0x235b576, size=7, name=Tobit
address=0x235b56f, size=7, name=Tobin
address=0x235b568, size=7, name=Tobie
address=0x235b560, size=8, name=Tobias
address=0x235b558, size=8, name=Tobiah
address=0x235b552, size=6, name=Tobe
address=0x235b54b, size=7, name=Titus
address=0x235b544, size=7, name=Titos
address=0x235b53e, size=6, name=Tito
address=0x235b535, size=9, name=Tirrell
address=0x235b52c, size=9, name=Timothy
address=0x235b521, size=11, name=Timotheus
address=0x235b517, size=10, name=Timothee
address=0x235b50e, size=9, name=Timoteo
address=0x235b505, size=9, name=Timofei
address=0x235b4fe, size=7, name=Timmy
address=0x235b4f6, size=8, name=Timmie
address=0x235ac8b, size=5, name=Tim
address=0x235b4ef, size=7, name=Tiler
address=0x235b4e6, size=9, name=Tiebout
address=0x235b4dd, size=9, name=Tiebold
address=0x235b4d5, size=8, name=Tibold
address=0x235b4cb, size=10, name=Thurston
address=0x235b4c1, size=10, name=Thurstan
address=0x235b4b7, size=10, name=Thorvald
address=0x235b4ad, size=10, name=Thorsten
address=0x235b4a2, size=11, name=Thorstein
address=0x235b49a, size=8, name=Thorpe
address=0x235b492, size=8, name=Thorny
address=0x235b488, size=10, name=Thornton
address=0x235b47f, size=9, name=Thornie
address=0x235b474, size=11, name=Thorndike
address=0x235b46d, size=7, name=Thorn
address=0x235b465, size=8, name=Thorin
address=0x2338a4e, size=6, name=Thor
address=0x235b45d, size=8, name=Thomas
address=0x235b456, size=7, name=Thoma
address=0x2337c35, size=6, name=Thom
address=0x235b44d, size=9, name=Thibaut
address=0x235b444, size=9, name=Thibaud
address=0x235b439, size=11, name=Theodoric
address=0x235b42f, size=10, name=Theodore
address=0x235b426, size=9, name=Theodor
address=0x235b41c, size=10, name=Theobald
address=0x233897d, size=6, name=Theo
address=0x235b412, size=10, name=Thedrick
address=0x235b409, size=9, name=Thedric
address=0x235b3ff, size=10, name=Thebault
address=0x235b3f7, size=8, name=Thayne
address=0x235b3ee, size=9, name=Thaxter
address=0x235b3e4, size=10, name=Thatcher
address=0x235b3dc, size=8, name=Thatch
address=0x235b3d5, size=7, name=Thane
address=0x235b3cd, size=8, name=Thaine
address=0x235b3c6, size=7, name=Thain
address=0x235b3bd, size=9, name=Thadeus
address=0x235b3b4, size=9, name=Thaddus
address=0x235b3aa, size=10, name=Thaddeus
address=0x235b3a1, size=9, name=Thacher
address=0x235b39a, size=7, name=Terry
address=0x235b391, size=9, name=Terrill
address=0x235b38a, size=7, name=Terri
address=0x235b380, size=10, name=Terrence
address=0x235b377, size=9, name=Terrell
address=0x235b36f, size=8, name=Terrel
address=0x235b365, size=10, name=Terrance
address=0x235b35b, size=10, name=Terencio
address=0x235b352, size=9, name=Terence
address=0x235b349, size=9, name=Teodoro
address=0x235b33e, size=11, name=Teodorico
address=0x235b336, size=8, name=Teodor
address=0x235b32d, size=9, name=Teodoor
address=0x235b322, size=11, name=Templeton
address=0x235b31a, size=8, name=Temple
address=0x2336372, size=6, name=Temp
address=0x235b311, size=9, name=Tedmund
address=0x235b309, size=8, name=Tedman
address=0x235aab6, size=7, name=Tedie
address=0x233625f, size=7, name=Teddy
address=0x235aaae, size=8, name=Teddie
address=0x2336eb2, size=6, name=Tedd
address=0x2337d7d, size=5, name=Ted
address=0x235aaa6, size=8, name=Teador
address=0x235aa9e, size=8, name=Taylor
address=0x235acff, size=6, name=Tate
address=0x2336255, size=10, name=Tarrance
address=0x233624e, size=7, name=Tanny
address=0x2336246, size=8, name=Tannie
address=0x2336ca1, size=8, name=Tanney
address=0x2336c99, size=8, name=Tanner
address=0x235aed3, size=6, name=Tann
address=0x2338741, size=5, name=Tan
address=0x2336c92, size=7, name=Tammy
address=0x2338938, size=8, name=Tammie
address=0x2338931, size=7, name=Tamas
address=0x2338754, size=5, name=Tam
address=0x233892a, size=7, name=Tally
address=0x23379b2, size=8, name=Tallie
address=0x23379aa, size=8, name=Talbot
address=0x23379a1, size=9, name=Talbert
address=0x2337297, size=7, name=Taite
address=0x2337053, size=6, name=Tait
address=0x233728f, size=8, name=Tailor
address=0x2337288, size=7, name=Tadio
address=0x2337279, size=7, name=Tades
