-- Total Memory Allocated --
Total: 19854
-- allocMBList (2397) --
address=0x9cd6b6, size=8, name=Sloane
address=0x9f11a1, size=7, name=Sloan
address=0x9cc8ec, size=7, name=Slade
address=0x9ccbf6, size=8, name=Skyler
address=0x9f0df5, size=8, name=Skylar
address=0x9ce2de, size=6, name=Skye
address=0x9ce409, size=5, name=Sky
address=0xa13110, size=9, name=Skipton
address=0x9cc54f, size=8, name=Skippy
address=0xa13107, size=9, name=Skippie
address=0xa130fe, size=9, name=Skipper
address=0x9cd120, size=7, name=Skipp
address=0x9ce0d9, size=6, name=Skip
address=0x9cde39, size=8, name=Skelly
address=0x9f0098, size=7, name=Skell
address=0x9cc4f5, size=8, name=Siward
address=0xa130f4, size=10, name=Sinclare
address=0xa130ea, size=10, name=Sinclair
address=0x9ce387, size=8, name=Simone
address=0x9ce2cc, size=7, name=Simon
address=0xa130e0, size=10, name=Simmonds
address=0x9ce4c6, size=8, name=Simeon
address=0x9ce1b5, size=5, name=Sim
address=0x9ce1ce, size=8, name=Silvio
address=0xa130d5, size=11, name=Silvester
address=0xa130cb, size=10, name=Silvanus
address=0xa130c2, size=9, name=Silvano
address=0x9cd95b, size=8, name=Silvan
address=0xa130b9, size=9, name=Silvain
address=0x9f1276, size=7, name=Silas
address=0xa130b0, size=9, name=Sigvard
address=0xa130a7, size=9, name=Sigmund
address=0xa1309b, size=12, name=Sigismundo
address=0xa13090, size=11, name=Sigismund
address=0xa13084, size=12, name=Sigismondo
address=0xa13079, size=11, name=Sigismond
address=0xa1306f, size=10, name=Sigfried
address=0xa13066, size=9, name=Sigfrid
address=0x9ce88c, size=5, name=Sig
address=0x9cce4d, size=8, name=Siffre
address=0xa1305b, size=11, name=Siegfried
address=0x9f1536, size=8, name=Sidney
address=0x9f11cd, size=8, name=Sidnee
address=0x9f02dd, size=5, name=Sid
address=0x9cce1b, size=7, name=Sibyl
address=0x9cc2cd, size=4, name=Si
address=0xa13051, size=10, name=Shurwood
address=0xa13046, size=11, name=Shurlocke
address=0xa1303c, size=10, name=Shurlock
address=0x9f06ae, size=8, name=Sholom
address=0xa13032, size=10, name=Sherwynd
address=0xa13028, size=10, name=Sherwood
address=0xa1301f, size=9, name=Sherwin
address=0x9cdce1, size=8, name=Shermy
address=0x9cc35c, size=9, name=Shermie
address=0x9cc6a8, size=9, name=Sherman
address=0x9cd97d, size=7, name=Sherm
