-- Total Memory Allocated --
Total: 24378
-- allocMBList (2945) --
address=0x1b48456, size=10, name=Tiffanie
address=0x1b4844d, size=9, name=Tiffani
address=0x1b48447, size=6, name=Tiff
address=0x1b4843e, size=9, name=Tiertza
address=0x1b48435, size=9, name=Tierney
address=0x1b4842e, size=7, name=Tiena
address=0x1b48423, size=11, name=Thomasine
address=0x1b48418, size=11, name=Thomasina
address=0x1b4840e, size=10, name=Thomasin
address=0x1b48405, size=9, name=Thomasa
address=0x1b483ff, size=6, name=Thia
address=0x1b483f6, size=9, name=Therine
address=0x1b483ec, size=10, name=Theressa
address=0x1b483e1, size=11, name=Theresita
address=0x1b483d6, size=11, name=Theresina
address=0x1b483cd, size=9, name=Therese
address=0x1b483c4, size=9, name=Theresa
address=0x1b483b9, size=11, name=Theodosia
address=0x1b483af, size=10, name=Theodora
address=0x1b483a9, size=6, name=Theo
address=0x1b483a1, size=8, name=Thelma
address=0x1b48399, size=8, name=Thekla
address=0x1b48392, size=7, name=Theda
address=0x1b48388, size=10, name=Theadora
address=0x1b48382, size=6, name=Thea
address=0x1b4837a, size=8, name=Thalia
address=0x1b48373, size=7, name=Tessy
address=0x1b4836b, size=8, name=Tessie
address=0x1b48364, size=7, name=Tessi
address=0x1b4835d, size=7, name=Tessa
address=0x1b48357, size=6, name=Tess
address=0x1b48350, size=7, name=Terza
address=0x1b48347, size=9, name=Tersina
address=0x1b4833f, size=8, name=Terrye
address=0x1b48338, size=7, name=Terry
address=0x1b4832f, size=9, name=Terrijo
address=0x1b48327, size=8, name=Terrie
address=0x1b48320, size=7, name=Terri
address=0x1b48319, size=7, name=Terra
address=0x1b48310, size=9, name=Teriann
address=0x1b4830a, size=6, name=Teri
address=0x1b48301, size=9, name=Teressa
address=0x1b482f7, size=10, name=Teresita
address=0x1b482ed, size=10, name=Teresina
address=0x1b482e5, size=8, name=Terese
address=0x1b482dd, size=8, name=Teresa
address=0x1b482d7, size=6, name=Tera
address=0x1b482ce, size=9, name=Teodora
address=0x1b482c5, size=9, name=TEirtza
address=0x1b482be, size=7, name=Teena
address=0x1b482b7, size=7, name=Tedra
address=0x1b00d79, size=6, name=Tedi
address=0x1b482b0, size=7, name=Teddy
address=0x1b482a8, size=8, name=Teddie
address=0x1b482a1, size=7, name=Teddi
address=0x1b4829a, size=7, name=Tedda
address=0x1b245c7, size=5, name=Ted
address=0x1b48292, size=8, name=Tawsha
